nome,email,genero,data_nascimento,data_cadastro,biografia
Breno Barbosa,breno.barbosa44@example.com,Não Binário,1963-09-15,2024-11-29T19:26:31-03:00,Commodi quos veritatis. Iste vitae sequi autem quia architecto soluta.
Lorenzo Vargas,lorenzo.vargas96@example.com,Masculino,1962-02-12,2024-09-03T23:17:17-03:00,Quibusdam officia id consectetur voluptates explicabo. Dolorum excepturi ratione exercitationem architecto fugit fugiat. Aspernatur vero iste.
Isabel Ribeiro,isabel.ribeiro96@example.com,Não Binário,1973-04-20,2024-08-19T17:42:45-03:00,Itaque officia minima harum quos natus adipisci optio. Voluptatum consequatur ut odio commodi.
Paulo Pereira,paulo.pereira15@example.org,Masculino,1971-05-12,2024-05-27T14:34:49-03:00,Rerum vel dolore doloribus facere maxime iure. Aspernatur officiis illo sit ab praesentium adipisci. Cupiditate eaque quas.
Sr. Noah da Luz,sr..noah.da.luz18@example.com,Não Binário,1978-09-08,2025-06-26T17:35:17-03:00,Similique possimus dolorem eligendi tempora eligendi. Iure natus est culpa velit animi minus. Perspiciatis ipsam vero qui.
Lunna Casa Grande,lunna.casa.grande25@example.net,Não Binário,1981-12-05,2025-05-11T15:08:38-03:00,Dolorem animi aspernatur aspernatur aliquam modi. Neque in sed.
Sra. Maria Luiza Dias,sra..maria.luiza.dias81@example.net,Feminino,1992-05-05,2025-06-01T07:28:20-03:00,Rerum temporibus officia ipsam voluptatem vel. Adipisci neque ducimus ratione vitae animi cupiditate. Omnis earum consequatur eos eum eius error.
Olivia Azevedo,olivia.azevedo94@example.com,Feminino,1963-02-24,2024-06-23T13:17:43-03:00,Molestiae aut cumque nulla minima quam. Similique minus reprehenderit soluta.
Ana Julia Moreira,ana.julia.moreira69@example.com,Feminino,1983-12-03,2024-03-01T04:56:50-03:00,Ducimus fuga quisquam sequi cumque eum dolorem ipsa. Laudantium sint inventore. Cum aperiam placeat fuga placeat.
João Miguel Abreu,joao.miguel.abreu34@example.org,Não Binário,1960-12-30,2025-03-05T08:59:54-03:00,Iure nulla harum cum reprehenderit nihil. Tempore ut tempore itaque laudantium esse. Architecto earum est quis.
Carlos Eduardo Porto,carlos.eduardo.porto24@example.org,Masculino,1981-10-23,2024-04-26T07:28:32-03:00,Illo veniam ratione nihil corporis rem. Quae pariatur at consectetur labore ullam.
Stephany Pereira,stephany.pereira31@example.net,Não Binário,1964-08-19,2024-06-13T06:34:49-03:00,Totam fuga eveniet nobis. Tempore mollitia odio accusamus libero.
João Felipe Gonçalves,joao.felipe.goncalves28@example.net,Não Binário,1979-10-03,2024-07-20T16:54:46-03:00,Laudantium distinctio ea a asperiores sed. Doloribus magni pariatur similique nihil nam ducimus corporis. Tempora occaecati consequuntur ex voluptates quod nostrum earum.
Dra. Aurora Campos,dra..aurora.campos36@example.org,Feminino,1964-03-17,2023-10-30T23:14:39-03:00,Dicta pariatur vero distinctio voluptates voluptate commodi saepe. Commodi quibusdam labore pariatur nihil architecto maxime. Consequuntur consequatur dolore.
Dante Albuquerque,dante.albuquerque77@example.com,Masculino,1997-04-26,2024-08-26T15:27:53-03:00,Incidunt quibusdam molestias voluptatem aut sunt. Eius velit ut aliquam sunt ea voluptate.
Heloisa Monteiro,heloisa.monteiro99@example.net,Não Binário,1962-02-27,2023-11-23T07:16:18-03:00,Porro doloribus nulla iste quisquam assumenda quia. Sequi a laborum occaecati earum atque minus rem. Soluta numquam officiis iure quidem dolorum dicta.
José Pedro Nascimento,jose.pedro.nascimento15@example.net,Masculino,1963-12-03,2024-04-08T15:35:40-03:00,Accusamus blanditiis aliquam illo atque repudiandae a.
Ágatha Teixeira,agatha.teixeira94@example.net,Feminino,1963-08-09,2025-01-16T15:03:37-03:00,Quidem molestiae ea. Quasi beatae atque placeat est quisquam deleniti. Repellat numquam ratione tempora. Consequuntur aut voluptates facere.
Ana Sophia Mendes,ana.sophia.mendes20@example.com,Feminino,1998-09-15,2025-08-25T07:58:55-03:00,Reiciendis itaque magnam rerum facere nesciunt sapiente doloribus. Sapiente unde officiis.
Enrico da Rocha,enrico.da.rocha29@example.org,Masculino,1994-05-12,2024-10-05T09:21:52-03:00,Libero error adipisci quod. Minus ducimus doloremque fugit voluptatem doloribus maiores. Aspernatur magnam et sed.
Dr. João Lucas Marques,dr..joao.lucas.marques57@example.net,Masculino,1989-12-26,2025-07-04T01:07:27-03:00,Occaecati necessitatibus nostrum. Vitae ducimus quos adipisci. Temporibus sed accusantium quaerat accusamus tenetur.
Olivia Marques,olivia.marques62@example.net,Não Binário,1991-08-03,2025-09-04T01:27:43-03:00,Et enim vitae praesentium. Laudantium recusandae voluptatum nesciunt ipsam consequatur. Id minus pariatur facilis fugiat optio.
Nicolas Ribeiro,nicolas.ribeiro37@example.net,Não Binário,1981-01-19,2025-03-11T19:55:19-03:00,Repudiandae porro voluptas qui. Animi harum illum optio cum esse. Ipsam laborum ipsum hic earum quam.
Luiz Gustavo Marques,luiz.gustavo.marques60@example.org,Não Binário,1983-07-05,2025-01-04T07:57:25-03:00,Consectetur numquam eaque occaecati nostrum. Perferendis minus eligendi quas. Repellendus rerum quod.
Juan Vargas,juan.vargas44@example.com,Masculino,1994-11-07,2025-08-05T15:35:53-03:00,Enim asperiores illo animi repudiandae. Dolor excepturi sunt magnam dignissimos eligendi delectus. Veritatis mollitia blanditiis voluptate ad nostrum possimus doloribus.
